City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,okhotsk,59.3833,143.3,11.35,11.35,9,2.73,RU,1687788848
291,larino,41.8055,14.9193,25.4,25.4,0,6.29,IT,1687788849
292,pisco,-13.7,-76.2167,18.03,17.79,100,2.57,PE,1687788851
293,kilju,40.9642,129.3278,19.13,19.13,100,1.57,KP,1687788852
294,razdol'noye,45.7708,33.4878,26.15,26.15,65,5.9,UA,1687788853
295,saudarkrokur,65.7461,-19.6394,15.06,15.06,33,1.63,IS,1687788853
296,mirabad,30.4362,61.8383,40.17,40.17,7,8.06,AF,1687788854
297,tamandare,-8.7597,-35.1047,25.14,25.14,54,6.01,BR,1687788855
298,callao,-12.0667,-77.15,22.07,21.16,100,5.14,PE,1687788802
299,gilgit,35.9221,74.3087,28.35,28.35,99,1.83,PK,1687788857
300,walvis bay,-22.9575,14.5053,15.61,15.61,99,3.67,NA,1687788858
301,port shepstone,-30.7414,30.455,19.91,19.91,85,3.47,ZA,1687788757
302,priargunsk,50.3691,119.1012,22.16,22.16,96,4.69,RU,1687788860
303,cidreira,-30.1811,-50.2056,21.16,21.16,97,1.77,BR,1687788861
304,rio grande,-32.035,-52.0986,24.06,22.75,100,3.9,BR,1687788862
305,chhindwara,22.0667,78.9333,23.81,23.81,100,5.33,IN,1687788662
306,kokopo,-4.352,152.2633,24.45,24.45,100,4.29,PG,1687788864
307,xinqing,48.2333,129.5,22.27,22.27,100,0.82,CN,1687788865
308,brookings,44.3114,-96.7984,19.47,17.84,0,4.63,US,1687788866
309,cabras,39.93,8.5314,34.37,34.37,0,4.06,IT,1687788821
310,inari,68.906,27.0288,14.11,14.11,64,3.4,FI,1687788868
311,ad dawadimi,24.5077,44.3924,39.83,39.83,0,4.35,SA,1687788704
312,inhambane,-23.865,35.3833,24.99,24.99,20,4.12,MZ,1687788869
313,palmas,-10.2128,-48.3603,28.93,28.93,0,4.63,BR,1687788831
314,cabinda,-5.55,12.2,24.68,24.68,82,4.86,AO,1687788762
315,alesund,62.4723,6.1549,21.06,18.08,20,3.09,NO,1687788738
316,ouadda,8.0777,22.4007,26.78,26.78,97,0.72,CF,1687788873
317,bubaque,11.2833,-15.8333,27.27,27.27,86,3.54,GW,1687788873
318,lubang,13.8584,120.124,29.03,29.03,88,1.91,PH,1687788874
319,kapuskasing,49.4169,-82.4331,16.05,16.0,100,2.57,CA,1687788875
